Episode,Phase,EpisodeTotalPnl,EpisodeAvgPnlPerStep,EpisodeLen,TerminalRepErr,Empirical_RL_CVaR,Empirical_BS_CVaR,Delta_CVaR_RL_minus_BS,Critic_CVaR_Estimate,Empirical_RL_Q5,Critic_u,MeanXi,MeanSigma,ActionStd,CorrActionRet,ModeEntropy
0,FORCED_ENTRY,3.8438488262951367,-0.03197414677005845,30,-3.8438488262951367,-1.7763071532625787,-0.49556749377300646,-1.2807396594895724,21.7970458984375,-0.9635720754722861,21.18841438293457,-0.01593917884553472,0.6183328648408254,0.18023720834764623,0.04453790612648752,1.0943830013275146
1,FORCED_ENTRY,-7.745606346653566,-0.15748468463273146,30,7.745606346653566,-1.8161636073134269,-1.0994534628729273,-0.7167101444404995,21.23457368214925,-1.3783394349533076,20.63080603281657,-0.01581257302314043,0.6133150358994802,0.16652106529947863,-0.33850366192950637,1.0945736169815063
2,FORCED_ENTRY,-8.677222255320993,-0.1824345577869062,30,8.677222255320993,-1.0537187593968709,-0.15390673416147682,-0.899812025235394,20.685110664367677,-0.8703075182166206,20.086257553100587,-0.016871235705912112,0.6089567601680755,0.16996248989901402,0.013463860143740998,1.0947390794754028
3,FORCED_ENTRY,-3.827890987849428,0.018984524646789385,30,3.827890987849428,-0.6095489460102249,-0.2497873491328761,-0.3597615968773488,20.146333758036295,-0.5265061914960747,19.552662658691407,-0.01815046152720849,0.6044467786947886,0.1518914783998229,-0.17076440123026743,1.094915747642517
4,FORCED_ENTRY,6.217829418882673,-0.060367795290917715,30,-6.217829418882673,-0.8342207213201449,-0.6204304031808702,-0.21379031813927474,19.60191968282064,-0.7852699028452856,19.01305866241455,-0.01987505132953326,0.6005651036898295,0.1777390473123278,0.27932294279559433,1.0951141119003296
5,FORCED_ENTRY,1.960846131381587,-0.02191630132869077,30,-1.960846131381587,-1.3377439999508796,-0.5767164344925807,-0.7610275654582989,19.021345074971517,-0.8629263588295933,18.43644142150879,-0.022119000429908435,0.5978412727514902,0.14878744023446402,-0.19141600110574658,1.0953301191329956
6,FORCED_ENTRY,3.5951792548720025,0.03641592624129575,30,-3.5951792548720025,-0.7089754128904742,-0.5129627149096394,-0.19601269798083476,18.503929710388185,-0.613974568572713,17.92289784749349,-0.02455457920829455,0.5952988684177398,0.19379966548708463,0.2575595072109638,1.0955452919006348
7,FORCED_ENTRY,-1.0980883765913751,-0.0038752043164477076,30,1.0980883765913751,-1.102351920177584,-0.3132277077699293,-0.7891242124076547,18.00110912322998,-0.704713197388496,17.423343086242674,-0.027488474920392036,0.593648370107015,0.14495718709876823,0.012146456885775436,1.0957204103469849
8,FORCED_ENTRY,-1.6777079174669967,0.0825967353522238,30,1.6777079174669967,-0.5744455548797691,-0.4136238546968889,-0.16082170018288022,17.483535448710125,-0.46914607805330694,16.908544985453286,-0.03030114434659481,0.5924136857191722,0.1973655746240581,-0.29513106188545923,1.0958856344223022
9,FORCED_ENTRY,2.651017517234476,0.07333392902784777,30,-2.651017517234476,-1.1443188728123153,-0.2921380858549454,-0.8521807869573699,16.785171953837075,-0.5063065611041427,16.212007586161295,-0.033766767382621764,0.5925185402234395,0.16914926239456013,-0.049671829585910085,1.0960580110549927
